iter	Passed	Remaining
0	7	3555
1	13	3462
2	19	3186
3	24	3052
4	29	2968
5	34	2878
6	40	2836
7	45	2811
8	50	2773
9	55	2736
10	61	2738
11	66	2701
12	71	2685
13	77	2677
14	82	2653
15	87	2633
16	92	2631
17	97	2619
18	102	2606
19	108	2608
20	114	2611
21	119	2596
22	124	2583
23	129	2576
24	135	2576
25	141	2572
26	146	2561
27	151	2548
28	156	2536
29	161	2528
30	167	2530
31	172	2519
32	177	2512
33	183	2510
34	188	2501
35	193	2495
36	198	2487
37	204	2488
38	209	2478
39	215	2473
40	220	2466
41	225	2459
42	230	2453
43	236	2445
44	241	2437
45	245	2427
46	251	2422
47	256	2418
48	261	2410
49	266	2401
50	271	2391
51	276	2386
52	282	2382
53	287	2374
54	292	2369
55	297	2361
56	303	2357
57	308	2351
58	313	2343
59	318	2337
60	323	2326
61	328	2318
62	333	2310
63	338	2304
64	343	2298
65	348	2293
66	353	2287
67	359	2284
68	364	2279
69	370	2278
70	376	2271
71	381	2265
72	386	2259
73	391	2256
74	396	2249
75	401	2242
76	407	2236
77	412	2231
78	417	2226
79	423	2221
80	428	2215
81	433	2208
82	438	2204
83	443	2197
84	448	2191
85	453	2185
86	459	2179
87	464	2173
88	469	2167
89	475	2164
90	480	2159
91	485	2153
92	490	2148
93	496	2143
94	501	2137
95	506	2131
96	511	2125
97	516	2119
98	521	2114
99	527	2109
100	532	2102
101	537	2097
102	543	2092
103	548	2087
104	554	2084
105	559	2080
106	565	2075
107	570	2070
108	575	2064
109	580	2059
110	586	2054
111	591	2047
112	596	2042
113	602	2039
114	607	2034
115	613	2029
116	618	2024
117	624	2020
118	629	2014
119	634	2008
120	639	2003
121	644	1997
122	649	1991
123	654	1985
124	660	1980
125	665	1974
126	670	1969
127	675	1963
128	681	1958
129	686	1952
130	691	1947
131	696	1942
132	702	1937
133	707	1931
134	712	1926
135	718	1922
136	723	1917
137	728	1911
138	734	1907
139	739	1902
140	745	1896
141	750	1891
142	755	1885
143	760	1879
144	765	1873
145	770	1868
146	775	1863
147	780	1857
148	786	1852
