,Superficie,ProxCarretera,ProxCallePrincipal,ProxViasTren,RatingEstrellas,SinGaraje,3plantas,AgeOfHouse,YearsSinceReform,hab*aseos,hab*rating,aseos*rating,aseos*rating*hab,Tipo_Casa baja,Tipo_Chalet adosado,Tipo_Chalet individual,Tipo_Dúplex,Tipo_Piso alto,CatParcela_Residencial especial,CatParcela_Residencial tipo 1,CatParcela_Residencial tipo 2,CatParcela_Residencial unifamiliar,CatParcela_Terciario,Formato_Algo irregular,Formato_Muy irregular,Formato_Poco irregular,Formato_Rectangular,TipoDesnivel_Inclinación frontal,TipoDesnivel_Inclinación lateral,TipoDesnivel_Llana,TipoDesnivel_Muy irregular,Desnivel_Elevado,Desnivel_Ligero,Desnivel_Moderado,Situacion_Esquina,Situacion_Frontal 2 lados,Situacion_Frontal 3 lados,Situacion_Interior,Situacion_Trasero,postal_group_5,postal_group_6,Precio
35636,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
75174,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
3304,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
40686,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
34067,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
11807,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
22524,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
67666,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
28533,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
9396,8.223050292702219,0.0,0.0,0.0,5.0,0.0,0.0,2.833213344056216,2.772588722239781,4.02535169073515,4.02535169073515,3.258096538021482,5.62040086571715,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.6931471805599453,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,1,12.754292315108039
